*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=13:13:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;100.457;-24.3715;0;Bottom;Copper Fill201
2;;;25.5905;-68.6056;0;Bottom;Copper Fill215
3;;;51.7144;-61.1126;0;Bottom;Copper Fill122
4;100nF;100 mil [THT, multilayer];29.8916;-94.4684;0;Bottom;C21
5;180;THT;80.6216;-42.3883;-90;Bottom;R38
6;;;10.16;-88.6462;0;Bottom;Copper Fill91
7;;;37.6216;-52.4684;0;Bottom;Via16
8;;;46.5328;-78.9942;0;Bottom;Copper Fill100
9;;;7.8994;-60.3252;0;Bottom;Copper Fill120
10;;;19.4818;-44.1708;0;Bottom;Copper Fill28
11;15k;THT;72.6217;-50.5485;-90;Bottom;R36
12;;;23.5712;-65.9894;0;Bottom;Copper Fill17
13;;;40.5892;-82.4867;0;Bottom;Copper Fill48
14;;;96.5581;-11.4556;0;Bottom;Copper Fill200
15;10k;THT;93.5417;-74.4685;180;Bottom;R66
16;;;77.6217;-58.4683;0;Bottom;Via33
17;;;28.6216;-52.4684;0;Bottom;Via20
18;;;98.5393;-33.4266;0;Bottom;Copper Fill60
19;;;53.5813;-16.1292;0;Bottom;Copper Fill62
20;;;48.5394;-32.182;0;Bottom;Copper Fill163
21;;;67.1068;-31.4708;0;Bottom;Copper Fill162
22;10k;THT;100.542;-3.46843;0;Bottom;R51
23;;;12.6746;-82.4867;0;Bottom;Copper Fill46
24;;;47.6215;-3.46824;0;Bottom;Via38
25;;;99.7966;-92.3038;0;Bottom;Copper Fill5
26;;;34.6216;-52.4684;0;Bottom;Via22
27;;;97.5614;-10.973;0;Bottom;Copper Fill185
28;100k;THT;77.6216;-45.3883;-90;Bottom;R34
29;;;52.6217;-10.4684;0;Bottom;Via9
30;;;18.1356;-93.015;0;Bottom;Copper Fill86
31;;;19.6218;-52.4684;0;Bottom;Via21
32;;;24.8412;-91.0719;0;Bottom;Copper Fill72
33;;;87.4268;-11.1254;0;Bottom;Copper Fill178
34;;;45.1866;-60.884;0;Bottom;Copper Fill124
35;;;22.6218;-52.4684;0;Bottom;Via17
36;;;76.3524;-48.0824;0;Bottom;Copper Fill26
37;180;THT;96.6216;-15.3884;-90;Bottom;R55
38;;;22.8854;-38.9384;0;Bottom;Copper Fill156
39;;;69.5833;-15.4434;0;Bottom;Copper Fill204
40;;;67.6216;-10.4684;0;Bottom;Via11
41;;;74.9554;-6.5788;0;Bottom;Copper Fill184
42;;;42.5577;-6.02;0;Bottom;Copper Fill40
43;;;18.1102;-81.0262;0;Bottom;Copper Fill98
44;;;36.0426;-18.5676;0;Bottom;Copper Fill171
45;;;28.6512;-91.1608;0;Bottom;Copper Fill89
46;180;THT;11.5418;-79.4683;180;Bottom;R60
47;220;THT;24.7015;-13.4684;0;Bottom;R12
48;10k;THT;16.7016;-67.4682;0;Bottom;R70
49;;;42.5577;-17.577;0;Bottom;Copper Fill43
50;;;81.9404;-52.4258;0;Bottom;Copper Fill24
51;;;74.0918;-43.3326;0;Bottom;Copper Fill148
52;;;88.0364;-51.4098;0;Bottom;Copper Fill23
53;;TO92 [THT];5.71048;-64.7377;-90;Bottom;Q4
54;;;39.5605;-83.5408;0;Bottom;Copper Fill193
55;;;21.971;-49.0222;0;Bottom;Copper Fill139
56;;;110.82;-18.212;0;Bottom;Copper Fill173
57;;;87.7824;-1.9306;0;Bottom;Copper Fill39
58;;;109.738;-26.6574;-90;Bottom;TXT7
59;10k;THT;104.622;-45.3883;-90;Bottom;R40
60;;;41.2496;-91.872;0;Bottom;Copper Fill3
61;;;101.622;-55.4683;0;Bottom;Via35
62;;;71.501;-19.5455;0;Bottom;Copper Fill61
63;220k;THT;55.6218;-31.3884;90;Bottom;R14
64;;;53.5813;-16.1292;0;Bottom;Copper Fill206
65;180;THT;20.5415;-76.4683;180;Bottom;R74
66;;;43.6217;-52.4684;0;Bottom;Via24
67;5.6k;THT;65.7016;-96.4683;0;Bottom;R78
68;;;71.6026;-21.9839;0;Bottom;Copper Fill73
69;;;93.3196;-24.9176;0;Bottom;Copper Fill169
70;180;THT;98.6217;-39.5483;90;Bottom;R48
71;;;86.7918;-76.632;0;Bottom;Copper Fill102
72;;;16.7132;-28.3466;0;Bottom;Copper Fill31
73;;;25.6218;-52.4684;0;Bottom;Via19
74;1k;THT;35.6215;-18.5484;-90;Bottom;R8
75;;;8.5725;-73.8888;0;Bottom;Copper Fill212
76;;;97.7392;-37.9478;0;Bottom;Copper Fill157
77;;;72.1106;-60.0204;0;Bottom;Copper Fill118
78;;;77.8256;-87.4778;0;Bottom;Copper Fill4
79;30k;THT;99.6216;-82.5485;-90;Bottom;R79
